alert_id,transaction_id,alert_type,alert_date,resolved,resolution_date,remarks,fraud_alert_id_check,resolution_date_check,validation_status
alert134117,txn10034117,frequent_failure,8/3/2025 13:29,FALSE,,Strategy forward the risk necessary company ready.,Valid,Missing,Review
alert183925,txn10083925,frequent_failure,10/9/2024 9:41,TRUE,10/11/2024 2:41,Art do federal short.,Valid,OK,No Review
alert163439,txn10063439,unusual_time,2/23/2025 1:23,TRUE,2/24/2025 10:23,Age board fine participant join.,Valid,OK,No Review
alert164967,txn10064967,frequent_failure,7/8/2025 21:50,TRUE,7/9/2025 19:50,Among doctor much physical interest catch.,Valid,OK,No Review
alert159661,txn10059661,frequent_failure,8/2/2025 22:59,TRUE,8/5/2025 7:59,Would catch themselves be represent why decade.,Valid,OK,No Review
alert180006,txn10080006,unusual_amount,3/5/2025 13:01,TRUE,3/6/2025 20:01,Democrat class ago such story cold environmental tax.,Valid,OK,No Review
alert130778,txn10030778,unusual_amount,8/3/2025 22:53,TRUE,8/6/2025 8:06,Anyone onto style science then Republican black myself.,Valid,OK,No Review
alert122322,txn10022322,unusual_amount,12/18/2021 21:00,TRUE,12/19/2021 18:00,Write anyone capital national.,Valid,OK,No Review
alert155954,txn10055954,unusual_amount,6/8/2025 2:15,FALSE,,Realize mention grow several season husband their.,Valid,Missing,Review
alert140444,txn10040444,suspicious_login,7/9/2025 3:05,FALSE,,Everybody team effect purpose series imagine name.,Valid,Missing,Review
alert173510,txn10073510,suspicious_login,7/19/2025 11:07,TRUE,7/19/2025 23:07,Price front summer score artist defense.,Valid,OK,No Review
alert172416,txn10072416,unusual_time,11/20/2023 4:16,TRUE,11/22/2023 17:16,Score may reality compare almost impact college address.,Valid,OK,No Review
alert182690,txn10082690,unusual_time,5/17/2024 21:04,TRUE,5/18/2024 3:04,Attention final model ability simple response stock.,Valid,OK,No Review
alert156982,txn10056982,frequent_failure,6/9/2024 21:28,TRUE,6/11/2024 13:28,Break report fear for officer.,Valid,OK,No Review
alert121922,txn10021922,unusual_time,7/15/2025 9:36,TRUE,7/15/2025 12:36,Century class enjoy.,Valid,OK,No Review
alert190191,txn10090191,suspicious_login,6/18/2025 7:10,TRUE,6/19/2025 7:10,Represent happen child allow nice member along.,Valid,OK,No Review
alert132693,txn10032693,suspicious_login,8/5/2025 16:21,TRUE,8/5/2025 18:21,Believe western head democratic mission she daughter.,Valid,OK,No Review
alert162262,txn10062262,unusual_time,7/30/2025 5:00,TRUE,8/2/2025 4:00,Pay true for contain.,Valid,OK,No Review
alert143058,txn10043058,suspicious_login,8/5/2025 5:08,FALSE,,Official billion sign prepare them while stop.,Valid,Missing,Review
alert172962,txn10072962,frequent_failure,5/23/2024 5:49,FALSE,,I computer mention lay area under its.,Valid,Missing,Review
alert111288,txn10011288,frequent_failure,7/19/2025 20:21,FALSE,,Including have accept until.,Valid,Missing,Review
alert190757,txn10090757,frequent_failure,5/2/2024 6:13,TRUE,5/2/2024 11:13,Specific case his increase lose.,Valid,OK,No Review
alert195992,txn10095992,suspicious_login,7/29/2025 21:44,TRUE,8/1/2025 13:44,Source detail never figure interesting information.,Valid,OK,No Review
alert144016,txn10044016,unusual_time,4/15/2024 18:47,FALSE,,Benefit respond head.,Valid,Missing,Review
alert131558,txn10031558,unusual_time,3/6/2025 16:16,TRUE,3/8/2025 23:16,Sometimes maybe just return.,Valid,OK,No Review
alert118287,txn10018287,unusual_time,7/13/2025 14:10,TRUE,7/16/2025 4:10,Us argue left east partner money.,Valid,OK,No Review
alert197713,txn10097713,suspicious_login,5/25/2025 0:29,TRUE,5/26/2025 4:29,Several ok scientist meeting.,Valid,OK,No Review
alert117919,txn10017919,suspicious_login,8/3/2025 15:58,TRUE,8/3/2025 18:58,Society level house him nice money catch whose.,Valid,OK,No Review
alert128056,txn10028056,unusual_time,6/19/2024 21:18,TRUE,6/20/2024 3:18,Return hundred official up education participant always speak.,Valid,OK,No Review
alert113524,txn10013524,suspicious_login,6/7/2025 20:55,TRUE,6/9/2025 17:55,Type sound special.,Valid,OK,No Review
alert198754,txn10098754,suspicious_login,7/6/2023 15:18,FALSE,,Benefit student country how feel simply lot.,Valid,Missing,Review
alert143678,txn10043678,frequent_failure,6/18/2025 0:50,TRUE,6/19/2025 7:50,Pick own ten sign bag.,Valid,OK,No Review
alert182558,txn10082558,suspicious_login,9/16/2024 22:34,TRUE,9/19/2024 13:34,Least parent upon fire soldier sense.,Valid,OK,No Review
alert136474,txn10036474,unusual_amount,10/17/2024 8:52,TRUE,10/20/2024 2:52,Product boy hospital with.,Valid,OK,No Review
alert128807,txn10028807,unusual_time,8/6/2025 7:18,TRUE,8/6/2025 8:06,Keep door set across watch.,Valid,OK,No Review
alert136007,txn10036007,frequent_failure,8/2/2025 4:28,TRUE,8/4/2025 16:28,Other half place small although they.,Valid,OK,No Review
alert129118,txn10029118,suspicious_login,12/14/2023 12:35,TRUE,12/16/2023 17:35,Make experience history international knowledge simply whole.,Valid,OK,No Review
alert103019,txn10003019,suspicious_login,3/16/2025 0:37,FALSE,,Anything wide bar tonight allow operation certainly.,Valid,Missing,Review
alert143397,txn10043397,unusual_amount,5/5/2025 12:07,FALSE,,Time open half enter and customer rule.,Valid,Missing,Review
alert185636,txn10085636,frequent_failure,1/12/2024 9:59,TRUE,1/13/2024 19:59,Make well take music imagine.,Valid,OK,No Review
alert109063,txn10009063,frequent_failure,1/27/2024 0:21,TRUE,1/29/2024 1:21,Morning project soon would she happen respond.,Valid,OK,No Review
alert113940,txn10013940,suspicious_login,3/25/2024 18:05,TRUE,3/28/2024 1:05,Thus number state.,Valid,OK,No Review
alert156319,txn10056319,suspicious_login,11/4/2024 20:28,TRUE,11/6/2024 4:28,Lead stuff understand month.,Valid,OK,No Review
alert151548,txn10051548,unusual_amount,9/17/2024 21:38,TRUE,9/19/2024 11:38,Goal art kid near doctor step.,Valid,OK,No Review
alert153063,txn10053063,unusual_amount,7/9/2025 10:12,TRUE,7/9/2025 13:12,Another million heart young market course.,Valid,OK,No Review
alert179535,txn10079535,frequent_failure,12/31/2023 20:43,TRUE,1/1/2024 10:43,Thing think thus soldier.,Valid,OK,No Review
alert134119,txn10034119,unusual_time,3/13/2025 8:21,TRUE,3/14/2025 21:21,Week bring wear difficult cut much.,Valid,OK,No Review
alert183960,txn10083960,suspicious_login,6/22/2025 18:48,TRUE,6/23/2025 9:48,Theory factor local again practice focus.,Valid,OK,No Review
alert194161,txn10094161,suspicious_login,12/16/2021 19:01,TRUE,12/19/2021 0:01,Spring clear common peace.,Valid,OK,No Review
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
